year,doy,groundradiation,tmin,tmax,vp,windspeed,rain,RSEvap,RSTran,RSLAI,RSCut
2002,82,14.1,0.8,7.2,0.65,1.4,0,0,0,0.1,0
2002,83,10.9,0.3,6.3,0.71,1.8,0,0,0,0.1,0
2002,84,2,1.5,4.5,0.72,2.1,6,0,0,0.1,0
2002,85,15.1,2.4,8.1,0.83,1.9,2.8,0,0,0.1,0
2002,86,7.8,0.8,7.8,0.96,1.4,0,0,0,0.1,0
2002,87,5.9,4,8.1,0.78,1.7,0,0,0,0.1,0
2002,88,8.6,1.2,6.5,0.78,1.1,0.1,0,0,0.1,0
2002,89,12.4,0.9,10.9,0.97,1.2,0,0,0,0.1,0
2002,90,8.9,2.4,12.3,0.93,1.5,0,0,0,0.1,0
2002,91,4.8,5.9,9.4,0.75,2.6,2.7,0,0,0.1,0
2002,92,4.7,7.1,12.2,0.75,3.1,3.6,0,0,0.1,0
2002,93,14.9,8.4,15.8,0.49,3.1,0.1,0,0,0.1,0
2002,94,17.3,6.5,14.9,0.54,1.8,0,0,0,0.1,0
2002,95,11.3,2.3,9.6,0.73,1.9,0.1,0,0,0.1,0
2002,96,15,1.3,9.3,0.98,2.5,0,0,0,0.1,0
2002,97,16.4,2,9.5,0.92,1.5,0.1,0,0,0.11,0
2002,98,15.8,2.4,8.7,0.77,1.6,0,0,0,0.12,0
2002,99,10.7,2.3,7.7,0.83,0.9,0.7,0,0,0.13,0
2002,100,17.1,1.3,8.4,0.69,1.1,0,0,0,0.14,0
2002,101,15.9,3.6,10.6,0.6,1.2,0,0,0,0.15,0
2002,102,15.2,2.9,9.1,0.66,2,0.1,0,0,0.16,0
2002,103,17.9,1.8,10.9,0.92,1.9,0,0,0,0.17,0
2002,104,2.5,5.6,8.3,0.68,0.9,5.5,0,0,0.18,0
2002,105,4.8,5.6,9.8,0.75,0.8,0,0,0,0.19,0
2002,106,15.4,2.2,11.9,0.81,1.7,0,0,0,0.2,0
2002,107,12.6,1.6,10.3,0.94,1.5,0,0,0,0.21,0
2002,108,4.3,5,9.6,0.81,0.8,0.3,0,0,0.22,0
2002,109,16.5,4.6,9.9,0.8,1.3,0,0,0,0.23,0
2002,110,12.8,3.8,9.5,0.79,1.3,0,0,0,0.3,0
2002,111,13.5,3.9,11.5,0.84,2,0.5,0,0,0.4,0
2002,112,3.6,6.9,9.8,0.72,2.8,13.1,0,0,0.6,0
2002,113,9.1,7.1,9.6,0.71,3.3,4.4,0,0,0.7,0
2002,114,13.5,6.5,13.2,0.91,2.8,2.4,0,0,0.76,0
2002,115,6.5,4.9,9.5,0.79,1.8,0.3,0,0,0.8925,0
2002,116,7.3,3.2,8.4,0.81,2.3,6.1,0,0,0.95,0
